userID,Join Time,Leave Time
user30,2020-10-06 16:01,2020-10-06 17:18
user56,2020-10-06 16:01,2020-10-06 17:18
user25,2020-10-06 16:01,2020-10-06 17:18
user5,2020-10-06 16:01,2020-10-06 17:18
user48,2020-10-06 16:02,2020-10-06 16:03
user50,2020-10-06 16:02,2020-10-06 17:21
user16,2020-10-06 16:02,2020-10-06 17:18
user48,2020-10-06 16:03,2020-10-06 16:37
user6,2020-10-06 16:03,2020-10-06 17:23
user52,2020-10-06 16:03,2020-10-06 17:18
user41,2020-10-06 16:03,2020-10-06 17:18
user44,2020-10-06 16:06,2020-10-06 17:18
user20,2020-10-06 16:12,2020-10-06 17:18
user32,2020-10-06 16:17,2020-10-06 17:18
user34,2020-10-06 16:17,2020-10-06 17:23
user42,2020-10-06 16:20,2020-10-06 17:16
user48,2020-10-06 16:37,2020-10-06 16:41
user48,2020-10-06 16:41,2020-10-06 17:17
user46,2020-10-06 17:06,2020-10-06 17:07
user46,2020-10-06 17:07,2020-10-06 17:08
user30,2020-10-08 15:24,2020-10-08 17:17
user53,2020-10-08 16:18,2020-10-08 17:15
user18,2020-10-08 15:41,2020-10-08 17:16
user31,2020-10-08 15:42,2020-10-08 17:16
user44,2020-10-08 15:43,2020-10-08 17:18
user20,2020-10-08 15:47,2020-10-08 17:16
user3,2020-10-08 15:48,2020-10-08 15:49
user47,2020-10-08 15:48,2020-10-08 17:18
user40,2020-10-08 15:49,2020-10-08 17:15
user21,2020-10-08 15:50,2020-10-08 17:16
user15,2020-10-08 15:50,2020-10-08 17:16
user17,2020-10-08 15:52,2020-10-08 17:16
user53,2020-10-08 15:53,2020-10-08 16:16
user29,2020-10-08 15:54,2020-10-08 17:15
user33,2020-10-08 15:55,2020-10-08 17:16
user9,2020-10-08 15:55,2020-10-08 17:16
user14,2020-10-08 15:55,2020-10-08 17:15
user22,2020-10-08 15:55,2020-10-08 17:15
user39,2020-10-08 15:56,2020-10-08 17:16
user10,2020-10-08 15:56,2020-10-08 17:15
user52,2020-10-08 15:56,2020-10-08 16:42
user23,2020-10-08 15:57,2020-10-08 17:15
user3,2020-10-08 15:58,2020-10-08 17:16
user2,2020-10-08 15:58,2020-10-08 17:15
user12,2020-10-08 15:59,2020-10-08 17:15
user19,2020-10-08 15:59,2020-10-08 17:15
user32,2020-10-08 15:59,2020-10-08 16:37
user37,2020-10-08 16:00,2020-10-08 17:18
user56,2020-10-08 16:00,2020-10-08 17:16
user42,2020-10-08 16:00,2020-10-08 16:25
user4,2020-10-08 16:01,2020-10-08 17:16
user16,2020-10-08 16:01,2020-10-08 17:17
user24,2020-10-08 16:02,2020-10-08 17:15
user5,2020-10-08 16:02,2020-10-08 17:16
user50,2020-10-08 16:03,2020-10-08 17:15
user57,2020-10-08 16:08,2020-10-08 17:16
user25,2020-10-08 16:12,2020-10-08 17:16
user27,2020-10-08 16:14,2020-10-08 16:34
user53,2020-10-08 16:17,2020-10-08 16:18
